RiskLevel, ConditionType, Condition                   , Trimester    , Breakfast               , Lunch                       , Dinner                     , ExerciseRecommendation   , MedicineName
low risk , General      , Normal vitals               , 1st Trimester, Oats + milk + banana    , Rice + dal + vegetables     , Chapati + paneer curry     , Walking 30 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 1st Trimester, Idli + sambar           , Brown rice + spinach curry  , Roti + mixed vegetables    , Prenatal yoga 15 min     , Folic Acid + Calcium
low risk , General      , Normal vitals               , 1st Trimester, Boiled egg + toast      , Rice + lentils + beans      , Chapati + dal              , Walking 25 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 2nd Trimester, Milk + nuts + oats      , Rice + chicken curry + salad, Roti + vegetable curry     , Walking 30 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 2nd Trimester, Fruit bowl + yogurt     , Millet rice + dal           , Chapati + paneer           , Stretching 20 min        , Folic Acid + Calcium
low risk , General      , Normal vitals               , 2nd Trimester, Dosa + chutney          , Rice + spinach + dal        , Roti + egg curry           , Walking 35 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 3rd Trimester, Oats + dates            , Rice + vegetables + dal     , Chapati + curd             , Slow walking 20 min      , Folic Acid + Calcium
low risk , General      , Normal vitals               , 3rd Trimester, Banana smoothie + nuts  , Rice + fish curry           , Roti + spinach             , Walking 20 min           , Folic Acid + Calcium
low risk , General      , Normal vitals               , 3rd Trimester, Boiled egg + milk       , Brown rice + dal + salad    , Chapati + beans            , Stretching 15 min        , Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 1st Trimester, Dates + milk            , Spinach rice + lentils      , Chapati + beetroot curry   , Prenatal yoga 10 min     , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 1st Trimester, Boiled egg + dates      , Rice + spinach dal          , Roti + beans curry         , Walking 20 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 1st Trimester, Pomegranate + nuts      , Rice + chicken liver curry  , Chapati + spinach          , Stretching 15 min        , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 2nd Trimester, Dates smoothie          , Rice + green gram curry     , Roti + beetroot            , Walking 25 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 2nd Trimester, Milk + dry fruits       , Rice + spinach + dal        , Chapati + egg curry        , Prenatal yoga 15 min     , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 2nd Trimester, Boiled egg + juice      , Millet + lentils            , Roti + beans               , Walking 30 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 3rd Trimester, Dates + yogurt          , Rice + spinach curry        , Chapati + dal              , Slow walking 15 min      , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 3rd Trimester, Milk + dates            , Rice + fish curry           , Roti + spinach             , Walking 15 min           , Ferrous Sulfate + Folic Acid + Calcium
low risk , Nutrition    , Mild anemia                 , 3rd Trimester, Boiled egg + milk       , Rice + lentils + salad      , Chapati + beetroot         , Stretching 10 min        , Ferrous Sulfate + Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 1st Trimester, Coconut water + banana  , Rice + dal + curd           , Roti + vegetables          , Walking 15 min           , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 1st Trimester, Fruit juice + oats      , Rice + salad + dal          , Chapati + soup             , Stretching 10 min        , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 1st Trimester, ORS + toast             , Rice + lentils              , Roti + curd rice           , Walking 10 min           , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 2nd Trimester, Coconut water + nuts    , Rice + vegetables + curd    , Chapati + dal              , Walking 20 min           , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 2nd Trimester, Watermelon + yogurt     , Millet + salad              , Roti + soup                , Stretching 15 min        , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 2nd Trimester, Lemon water + toast     , Rice + curd + dal           , Chapati + beans            , Walking 20 min           , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 3rd Trimester, Coconut water + oats    , Rice + vegetables           , Chapati + curd             , Slow walking 10 min      , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 3rd Trimester, ORS + banana            , Rice + lentils              , Roti + soup                , Stretching 10 min        , Folic Acid + Calcium
low risk , Hydration    , Mild dehydration            , 3rd Trimester, Fruit juice + nuts      , Rice + dal + salad          , Chapati + beans            , Walking 15 min           , Folic Acid + Calcium
low risk , Fatigue      , Mild fatigue                , 1st Trimester, Milk + banana           , Rice + chicken curry        , Roti + dal                 , Walking 15 min           , Folic Acid + Calcium
low risk , Fatigue      , Mild fatigue                , 1st Trimester, Oats + nuts             , Rice + lentils              , Chapati + paneer           , Stretching 10 min        , Folic Acid + Calcium
low risk , Fatigue      , Mild fatigue                , 2nd Trimester, Boiled egg + toast      , Rice + vegetables + dal     , Roti + beans               , Walking 20 min           , Folic Acid + Calcium
low risk , Fatigue      , Mild fatigue                , 2nd Trimester, Smoothie + nuts         , Millet + dal                , Chapati + spinach          , Prenatal yoga 15 min     , Folic Acid + Calcium
low risk , Fatigue      , Mild fatigue                , 3rd Trimester, Milk + oats             , Rice + curd + dal           , Roti + vegetables          , Slow walking 10 min      , Folic Acid + Calcium
low risk , Fatigue      , Mild fatigue                , 3rd Trimester, Banana + yogurt         , Rice + salad + dal          , Chapati + paneer           , Stretching 10 min        , Folic Acid + Calcium
low risk , Nausea       , Morning sickness            , 1st Trimester, Crackers + tea          , Rice + curd                 , Roti + soup                , Breathing exercise 10 min, Folic Acid + Calcium
low risk , Nausea       , Morning sickness            , 1st Trimester, Ginger tea + toast      , Rice + dal                  , Chapati + vegetables       , Walking 10 min           , Folic Acid + Calcium
low risk , Nausea       , Morning sickness            , 1st Trimester, Banana + biscuits       , Rice + soup                 , Roti + curd                , Stretching 10 min        , Folic Acid + Calcium
low risk , Nausea       , Morning sickness            , 2nd Trimester, Ginger tea + oats       , Rice + lentils              , Chapati + beans            , Walking 15 min           , Folic Acid + Calcium
low risk , Nausea       , Morning sickness            , 2nd Trimester, Toast + yogurt          , Rice + dal + salad          , Roti + soup                , Breathing exercise 10 min, Folic Acid + Calcium
low risk , Nausea       , Morning sickness            , 3rd Trimester, Crackers + milk         , Rice + vegetables + dal     , Chapati + curd             , Slow walking 10 min      , Folic Acid + Calcium
low risk , Nausea       , Morning sickness            , 3rd Trimester, Ginger tea + banana     , Rice + soup                 , Roti + dal                 , Stretching 10 min        , Folic Acid + Calcium
mid risk , BP           , SBP 120-139                 , 1st Trimester, Oats + milk             , Brown rice + vegetables     , Chapati + dal              , Walking 20 min           , Methyldopa + Calcium
mid risk , BP           , SBP 120-139                 , 1st Trimester, Idli + sambar           , Rice + spinach curry        , Roti + beans               , Stretching 15 min        , Methyldopa + Calcium
mid risk , BP           , SBP 120-139                 , 2nd Trimester, Boiled egg + oats       , Rice + dal + salad          , Chapati + vegetables       , Walking 25 min           , Methyldopa + Calcium
mid risk , BP           , SBP 120-139                 , 2nd Trimester, Fruit bowl + yogurt     , Millet + dal                , Roti + paneer              , Prenatal yoga 15 min     , Methyldopa + Calcium
mid risk , BP           , SBP 120-139                 , 3rd Trimester, Oats + banana           , Rice + curd + vegetables    , Chapati + dal              , Slow walking 15 min      , Methyldopa + Calcium
mid risk , BP           , DBP 80-89                   , 1st Trimester, Milk + oats             , Rice + lentils              , Roti + beans               , Walking 20 min           , Methyldopa + Calcium
mid risk , BP           , DBP 80-89                   , 2nd Trimester, Boiled egg + toast      , Rice + spinach              , Roti + dal                 , Walking 20 min           , Methyldopa + Calcium
mid risk , BP           , DBP 80-89                   , 3rd Trimester, Banana smoothie + nuts  , Rice + vegetables           , Chapati + paneer           , Stretching 10 min        , Methyldopa + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 1st Trimester, Oats + nuts             , Brown rice + salad          , Millet + dal               , Walking 20 min           , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 1st Trimester, Boiled egg + oats       , Rice + vegetables           , Roti + spinach             , Walking 20 min           , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 1st Trimester, Sugar-free yogurt + nuts, Millet + dal                , Roti + beans               , Stretching 15 min        , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 2nd Trimester, Oats + seeds            , Brown rice + chicken salad  , Chapati + dal              , Walking 25 min           , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 2nd Trimester, Boiled egg + milk       , Millet + spinach            , Roti + vegetables          , Prenatal yoga 15 min     , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 2nd Trimester, Sugar-free smoothie     , Rice + lentils              , Chapati + beans            , Walking 20 min           , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 3rd Trimester, Oats + almonds          , Brown rice + salad          , Chapati + dal              , Slow walking 15 min      , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 3rd Trimester, Boiled egg + nuts       , Rice + vegetables           , Roti + spinach             , Stretching 10 min        , Metformin + Calcium
mid risk , Sugar        , BS 5.7-6.9                  , 3rd Trimester, Yogurt + oats           , Millet + dal                , Chapati + beans            , Walking 15 min           , Metformin + Calcium
mid risk , Temperature  , Temp 99-100                 , 1st Trimester, Toast + soup            , Rice + curd                 , Chapati + vegetables       , Breathing exercise 10 min, Paracetamol + Calcium
mid risk , Temperature  , Temp 99-100                 , 1st Trimester, Ginger tea + biscuits   , Rice + dal                  , Roti + soup                , Walking 10 min           , Paracetamol + Calcium
mid risk , Temperature  , Temp 99-100                 , 2nd Trimester, ORS + toast             , Rice + lentils              , Chapati + curd             , Stretching 10 min        , Paracetamol + Calcium
mid risk , Temperature  , Temp 99-100                 , 2nd Trimester, Fruit juice + oats      , Rice + soup                 , Roti + beans               , Walking 15 min           , Paracetamol + Calcium
mid risk , Temperature  , Temp 99-100                 , 3rd Trimester, Coconut water + banana  , Rice + curd + dal           , Chapati + soup             , Slow walking 10 min      , Paracetamol + Calcium
mid risk , Temperature  , Temp 99-100                 , 3rd Trimester, Toast + milk            , Rice + lentils              , Roti + vegetables          , Breathing exercise 10 min, Paracetamol + Calcium
mid risk , HeartRate    , HR 100-110                  , 1st Trimester, Milk + oats             , Rice + dal                  , Roti + vegetables          , Deep breathing 15 min    , Folic Acid + Calcium
mid risk , HeartRate    , HR 100-110                  , 1st Trimester, Banana + yogurt         , Rice + lentils              , Chapati + paneer           , Walking 15 min           , Folic Acid + Calcium
mid risk , HeartRate    , HR 100-110                  , 2nd Trimester, Boiled egg + toast      , Rice + beans                , Roti + dal                 , Stretching 15 min        , Folic Acid + Calcium
mid risk , HeartRate    , HR 100-110                  , 2nd Trimester, Smoothie + nuts         , Rice + vegetables           , Chapati + spinach          , Prenatal yoga 15 min     , Folic Acid + Calcium
mid risk , HeartRate    , HR 100-110                  , 3rd Trimester, Oats + milk             , Rice + lentils              , Roti + vegetables          , Slow walking 10 min      , Folic Acid + Calcium
mid risk , HeartRate    , HR 100-110                  , 3rd Trimester, Yogurt + oats           , Rice + beans                , Chapati + paneer           , Breathing exercise 10 min, Folic Acid + Calcium
mid risk , Weight       , Mild obesity                , 1st Trimester, Sugar-free oats         , Brown rice + salad          , Chapati + vegetables       , Walking 20 min           , Metformin + Calcium
mid risk , Weight       , Mild obesity                , 1st Trimester, Boiled egg + fruit      , Millet + lentils            , Roti + spinach             , Stretching 15 min        , Metformin + Calcium
mid risk , Weight       , Mild obesity                , 2nd Trimester, Oats + seeds            , Rice + vegetables + dal     , Chapati + beans            , Walking 25 min           , Metformin + Calcium
mid risk , Weight       , Mild obesity                , 2nd Trimester, Yogurt + nuts           , Brown rice + salad          , Roti + paneer              , Prenatal yoga 15 min     , Metformin + Calcium
mid risk , Weight       , Mild obesity                , 3rd Trimester, Sugar-free smoothie     , Millet + dal                , Chapati + vegetables       , Slow walking 10 min      , Metformin + Calcium
mid risk , Weight       , Mild obesity                , 3rd Trimester, Oats + almonds          , Rice + lentils              , Roti + beans               , Stretching 10 min        , Metformin + Calcium
mid risk , Combined     , Borderline BP + Sugar       , 2nd Trimester, Oats + nuts             , Brown rice + salad          , Chapati + spinach          , Walking 20 min           , Methyldopa + Metformin + Calcium
mid risk , Combined     , Borderline BP + Sugar       , 3rd Trimester, Sugar-free oats         , Millet + vegetables         , Roti + dal                 , Slow walking 10 min      , Methyldopa + Metformin + Calcium
mid risk , Combined     , Borderline Sugar + HR       , 2nd Trimester, Oats + yogurt           , Rice + beans                , Chapati + vegetables       , Breathing exercise 15 min, Metformin + Calcium
mid risk , Combined     , Borderline BP + Fever       , 3rd Trimester, Toast + soup            , Rice + curd                 , Roti + dal                 , Minimal walking          , Paracetamol + Methyldopa + Calcium
mid risk , Combined     , Borderline BP + HR          , 3rd Trimester, Milk + oats             , Rice + lentils              , Chapati + vegetables       , Breathing exercise 10 min, Methyldopa + Calcium
mid risk , Combined     , Sugar + Mild obesity        , 2nd Trimester, Sugar-free smoothie     , Brown rice + salad          , Chapati + beans            , Walking 15 min           , Metformin + Calcium
mid risk , Combined     , Sugar + Mild obesity        , 3rd Trimester, Oats + nuts             , Millet + dal                , Roti + spinach             , Slow walking 10 min      , Metformin + Calcium
mid risk , Combined     , Fever + HR                  , 2nd Trimester, Coconut water + toast   , Rice + soup                 , Chapati + curd             , Breathing exercise 10 min, Paracetamol + Calcium
mid risk , Combined     , Fever + Sugar               , 3rd Trimester, ORS + oats              , Rice + curd + vegetables    , Roti + dal                 , Minimal walking          , Paracetamol + Metformin + Calcium
high risk, BP           , SBP > 140                   , 1st Trimester, Oats + banana           , Low sodium brown rice       , Chapati + boiled vegetables, Minimal walking          , Labetalol + Calcium
high risk, BP           , SBP > 140                   , 1st Trimester, Boiled egg + oats       , Rice + spinach              , Chapati + dal              , Minimal walking          , Labetalol + Calcium
high risk, BP           , SBP > 140                   , 2nd Trimester, Oats + milk             , Low sodium rice + salad     , Roti + vegetables          , Slow walking 10 min      , Labetalol + Calcium
high risk, BP           , SBP > 140                   , 2nd Trimester, Fruit bowl + yogurt     , Millet + lentils            , Roti + beans               , Minimal walking          , Labetalol + Calcium
high risk, BP           , SBP > 140                   , 3rd Trimester, Sugar-free oats         , Low sodium diabetic meal    , Chapati + greens           , Bed rest                 , Nifedipine + Calcium
high risk, BP           , DBP > 90                    , 1st Trimester, Milk + oats             , Rice + lentils              , Roti + vegetables          , Minimal walking          , Methyldopa + Calcium
high risk, BP           , DBP > 90                    , 2nd Trimester, Boiled egg + toast      , Rice + dal + salad          , Roti + beans               , Slow walking 10 min      , Methyldopa + Calcium
high risk, BP           , DBP > 90                    , 3rd Trimester, Banana smoothie + nuts  , Rice + vegetables           , Chapati + paneer           , Bed rest                 , Nifedipine + Calcium
high risk, Sugar        , BS > 8                      , 1st Trimester, Sugar-free oats         , Brown rice + salad          , Millet + dal               , Walking 10 min           , Insulin + Calcium
high risk, Sugar        , BS > 8                      , 1st Trimester, Boiled egg + nuts       , Rice + spinach              , Roti + beans               , Minimal walking          , Insulin + Calcium
high risk, Sugar        , BS > 8                      , 2nd Trimester, Oats + seeds            , Brown rice + vegetables     , Chapati + dal              , Walking 15 min           , Metformin + Insulin
high risk, Sugar        , BS > 8                      , 2nd Trimester, Sugar-free smoothie     , Millet + lentils            , Roti + spinach             , Minimal walking          , Metformin + Insulin
high risk, Sugar        , BS > 8                      , 3rd Trimester, Oats + almonds          , Diabetic meal + salad       , Chapati + vegetables       , Bed rest                 , Insulin + Calcium
high risk, Sugar        , BS > 8                      , 3rd Trimester, Boiled egg + oats       , Rice + greens               , Roti + beans               , Minimal walking          , Insulin + Calcium
high risk, Temperature  , Temp > 100.4                , 1st Trimester, Toast + soup            , Rice + curd                 , Roti + vegetables          , Bed rest                 , Paracetamol + ORS
high risk, Temperature  , Temp > 100.4                , 1st Trimester, Ginger tea + biscuits   , Rice + dal                  , Roti + soup                , Bed rest                 , Paracetamol + ORS
high risk, Temperature  , Temp > 100.4                , 2nd Trimester, ORS + toast             , Rice + lentils              , Chapati + curd             , Minimal movement         , Paracetamol + ORS
high risk, Temperature  , Temp > 100.4                , 2nd Trimester, Fruit juice + oats      , Rice + soup                 , Roti + beans               , Bed rest                 , Paracetamol + ORS
high risk, Temperature  , Temp > 100.4                , 3rd Trimester, Coconut water + banana  , Rice + curd + dal           , Chapati + soup             , Bed rest                 , Paracetamol + ORS
high risk, Temperature  , Temp > 100.4                , 3rd Trimester, Toast + milk            , Rice + lentils              , Roti + vegetables          , Minimal movement         , Paracetamol + ORS
high risk, HeartRate    , HR > 110                    , 1st Trimester, Milk + oats             , Rice + dal                  , Roti + vegetables          , Breathing exercise 10 min, Calcium + Folic Acid
high risk, HeartRate    , HR > 110                    , 1st Trimester, Banana + yogurt         , Rice + lentils              , Chapati + paneer           , Minimal walking          , Calcium + Folic Acid
high risk, HeartRate    , HR > 110                    , 2nd Trimester, Boiled egg + toast      , Rice + beans                , Roti + dal                 , Breathing exercise 10 min, Calcium + Folic Acid
high risk, HeartRate    , HR > 110                    , 2nd Trimester, Smoothie + nuts         , Rice + vegetables           , Chapati + spinach          , Minimal movement         , Calcium + Folic Acid
high risk, HeartRate    , HR > 110                    , 3rd Trimester, Oats + milk             , Rice + lentils              , Roti + vegetables          , Bed rest                 , Calcium + Folic Acid
high risk, HeartRate    , HR > 110                    , 3rd Trimester, Yogurt + oats           , Rice + beans                , Chapati + paneer           , Minimal movement         , Calcium + Folic Acid
high risk, Combined     , High BP + High Sugar        , 2nd Trimester, Sugar-free oats         , Low sodium brown rice       , Chapati + greens           , Minimal movement         , Labetalol + Insulin + Calcium
high risk, Combined     , High BP + High Sugar        , 3rd Trimester, Oats + egg whites       , Diabetic low sodium meal    , Chapati + spinach          , Bed rest                 , Labetalol + Insulin + Calcium
high risk, Combined     , High BP + Fever             , 2nd Trimester, Toast + soup            , Rice + curd                 , Roti + vegetables          , Bed rest                 , Labetalol + Paracetamol + ORS
high risk, Combined     , High Sugar + Fever          , 3rd Trimester, ORS + oats              , Diabetic rice meal          , Chapati + dal              , Bed rest                 , Insulin + Paracetamol + ORS
high risk, Combined     , High BP + HR                , 3rd Trimester, Milk + oats             , Rice + lentils              , Roti + vegetables          , Minimal movement         , Nifedipine + Calcium
high risk, Combined     , High Sugar + HR             , 2nd Trimester, Sugar-free smoothie     , Brown rice + salad          , Chapati + beans            , Minimal movement         , Insulin + Calcium
high risk, Combined     , Fever + HR                  , 3rd Trimester, Coconut water + toast   , Rice + soup                 , Chapati + curd             , Bed rest                 , Paracetamol + ORS
high risk, Combined     , High BP + High Sugar + Fever, 2nd Trimester, ORS + oats              , Low sodium diabetic rice    , Chapati + soup             , Bed rest                 , Labetalol + Insulin + Paracetamol + ORS
high risk, Combined     , High BP + High Sugar + Fever, 3rd Trimester, Sugar-free oats         , Low sodium diabetic meal    , Chapati + greens           , Bed rest                 , Nifedipine + Insulin + Paracetamol + ORS
high risk, Combined     , High BP + High Sugar + HR   , 2nd Trimester, Oats + egg whites       , Brown rice + salad          , Chapati + spinach          , Minimal movement         , Labetalol + Insulin + Calcium
high risk, Combined     , High BP + High Sugar + HR   , 3rd Trimester, Sugar-free smoothie     , Diabetic meal + greens      , Chapati + dal              , Bed rest                 , Nifedipine + Insulin + Calcium
high risk, Combined     , High BP + Fever + HR        , 2nd Trimester, Toast + soup            , Rice + curd                 , Roti + vegetables          , Bed rest                 , Labetalol + Paracetamol + ORS
high risk, Combined     , High BP + Fever + HR        , 3rd Trimester, Coconut water + toast   , Rice + soup                 , Chapati + curd             , Bed rest                 , Nifedipine + Paracetamol + ORS
high risk, Combined     , High Sugar + Fever + HR     , 2nd Trimester, ORS + oats              , Diabetic rice meal          , Chapati + dal              , Bed rest                 , Insulin + Paracetamol + ORS
high risk, Combined     , High Sugar + Fever + HR     , 3rd Trimester, Sugar-free oats         , Diabetic meal + soup        , Chapati + vegetables       , Bed rest                 , Insulin + Paracetamol + ORS
high risk, Combined     , Preeclampsia risk           , 2nd Trimester, Oats + milk             , Low sodium rice + vegetables, Chapati + greens           , Bed rest                 , Labetalol + Calcium
high risk, Combined     , Preeclampsia risk           , 3rd Trimester, Sugar-free oats         , Low sodium meal             , Chapati + dal              , Bed rest                 , Nifedipine + Calcium
high risk, Combined     , Severe gestational diabetes , 2nd Trimester, Boiled egg + oats       , Diabetic meal + salad       , Roti + beans               , Minimal movement         , Insulin + Metformin
high risk, Combined     , Severe gestational diabetes , 3rd Trimester, Sugar-free smoothie     , Low GI meal + greens        , Chapati + spinach          , Bed rest                 , Insulin + Metformin
high risk, Combined     , Severe dehydration + fever  , 1st Trimester, ORS + toast             , Rice + curd                 , Roti + soup                , Bed rest                 , Paracetamol + ORS
high risk, Combined     , Severe dehydration + fever  , 2nd Trimester, Coconut water + oats    , Rice + dal                  , Roti + curd                , Bed rest                 , Paracetamol + ORS
high risk, Combined     , Severe dehydration + fever  , 3rd Trimester, ORS + banana            , Rice + soup                 , Chapati + vegetables       , Bed rest                 , Paracetamol + ORS
high risk, Combined     , Hypertension crisis         , 2nd Trimester, Oats + banana           , Low sodium rice + salad     , Chapati + greens           , Bed rest                 , Labetalol + Nifedipine
high risk, Combined     , Hypertension crisis         , 3rd Trimester, Sugar-free oats         , Low sodium diabetic meal    , Chapati + vegetables       , Bed rest                 , Labetalol + Nifedipine
high risk, Combined     , Hyperglycemia crisis        , 2nd Trimester, Sugar-free smoothie     , Diabetic meal + salad       , Roti + dal                 , Minimal movement         , Insulin + Metformin
high risk, Combined     , Hyperglycemia crisis        , 3rd Trimester, Oats + egg whites       , Low GI meal + greens        , Chapati + spinach          , Bed rest                 , Insulin + Metformin
high risk, Combined     , Fever with tachycardia      , 1st Trimester, Toast + soup            , Rice + curd                 , Roti + vegetables          , Bed rest                 , Paracetamol + ORS
high risk, Combined     , Fever with tachycardia      , 2nd Trimester, Coconut water + toast   , Rice + soup                 , Chapati + curd             , Bed rest                 , Paracetamol + ORS
high risk, Combined     , Fever with tachycardia      , 3rd Trimester, ORS + oats              , Rice + dal                  , Chapati + soup             , Bed rest                 , Paracetamol + ORS
high risk, Combined     , High BP + Severe fatigue    , 2nd Trimester, Milk + oats             , Rice + lentils              , Roti + spinach             , Minimal movement         , Labetalol + Calcium
high risk, Combined     , High BP + Severe fatigue    , 3rd Trimester, Oats + nuts             , Low sodium rice + beans     , Chapati + greens           , Bed rest                 , Nifedipine + Calcium
high risk, Combined     , High Sugar + Severe fatigue , 2nd Trimester, Sugar-free oats         , Diabetic rice meal          , Chapati + dal              , Minimal movement         , Insulin + Calcium
high risk, Combined     , High Sugar + Severe fatigue , 3rd Trimester, Sugar-free smoothie     , Low GI meal + greens        , Roti + beans               , Bed rest                 , Insulin + Calcium
high risk, Combined     , Critical maternal risk      , 2nd Trimester, Oats + egg whites       , Low sodium diabetic meal    , Chapati + spinach          , Bed rest                 , Labetalol + Insulin + Calcium
high risk, Combined     , Critical maternal risk      , 3rd Trimester, Sugar-free oats         , Diabetic low sodium meal    , Chapati + greens           , Bed rest                 , Nifedipine + Insulin + Calcium
high risk, Combined     , Emergency maternal condition, 2nd Trimester, ORS + soup              , Rice + curd                 , Roti + vegetables          , Bed rest                 , Labetalol + Insulin + Paracetamol
high risk, Combined     , Emergency maternal condition, 3rd Trimester, ORS + oats              , Low sodium diabetic meal    , Chapati + soup             , Bed rest                 , Nifedipine + Insulin + Paracetamol
high risk, Combined     , Multi-risk maternal case    , 2nd Trimester, Sugar-free smoothie     , Low GI meal + greens        , Roti + spinach             , Bed rest                 , Labetalol + Insulin + ORS
high risk, Combined     , Multi-risk maternal case    , 3rd Trimester, Oats + egg whites       , Low sodium diabetic meal    , Chapati + greens           , Bed rest                 , Nifedipine + Insulin + ORS